<OOV> 1.0	OOV
نقاش 1.0	N A Q Q AA SH
نقصان 1.0	N U Q S AA N
نقلی 1.0	N A Q L II
نقوی 1.0	N A Q V II
نکال 1.0	N I K AA L
نکالنا 1.0	N I K AA L N AA
نکالو 1.0	N I K AA L OO
نکالی 1.0	N I K AA L II
نکل 1.0	N I K A L
نکلا 1.0	N I K L AA
نکلتا 1.0	N I K A L TD AA
نکلنا 1.0	N I K A L N AA
نکلنے 1.0	N I K A L N AY
نکلوا 1.0	N I K A L V AA
نکلوانی 1.0	N I K A L V AA N II
نکلے 1.0	N I K L AY
نگٹس 1.0	NG TT S
نگیٹ 1.0	N I G AE TT
نگیٹس 1.0	N I G AE TT S
نمائندہ 1.0	N U M AA I N DD AA
نمائندے 1.0	N U M AA I N DD AY
نمبر 1.0	N A M B A R
نمبرز 1.0	N A M B A R Z
نمک 1.0	N A M A K
نہ 1.0	N AA
نہت 1.0	N I H A TD
نہں 1.0	N UUN
نہی 1.0	N A H II
نہیں 1.0	N A H IIN
نو 1.0	N OO
نواز 1.0	N A V AA Z
نوٹ 1.0	N OO TT
نور 1.0	N UU R
نورتھ 1.0	N O R TDH
نورمل 1.0	N O R M I L
نوشین 1.0	N OO SH II N
نوکری 1.0	N O K A R II
نوں 1.0	N OON
نون 1.0	N UU N
نوے 1.0	N A V V AE
نوید 1.0	N A V II DD
نے 1.0	N AY
نی 1.0	N II
نیا 1.0	N I J AA
نیبر 1.0	N AE B A R
نیٹ 1.0	N AE TT
نیچے 1.0	N II TSH AE
نیڈ 1.0	N II DD
نیز 1.0	N II Z
نیسلے 1.0	N AY S L AY
نیکسٹ 1.0	N AE K S TT
نیم 1.0	N II M
نیہں 1.0	N II H
نیو 1.0	N II V
نیور 1.0	N AY V A R
نیوز 1.0	N I J UU Z
نیئرز 1.0	N II A R Z
نیئرسٹ 1.0	N AY A R I S TT
نئے 1.0	N A AE
نئی 1.0	N A II
نئیر 1.0	N A J A R
نئیرسٹ 1.0	N A J A R S A TT
هو 1.0	V
هوں 1.0	OON
ہا 1.0	H AA
ہاتھ 1.0	H AA TDH
ہاٹ 1.0	H AA TT
ہار 1.0	H AA R
ہارڈ 1.0	H AA R DD
ہارڈلی 1.0	H AA R DD L II
ہارون 1.0	H AA R UU N
ہاف 1.0	H AA F
ہال 1.0	H AA L
ہاں 1.0	H AAN
ہانگ 1.0	H AA NG
ہاور 1.0	H AA V A R
ہاؤ 1.0	H AA OO
ہاؤس 1.0	H AA UU S
ہاؤسنگ 1.0	H AA UU S I NG
ہائقہ 1.0	H AA I Q AA
ہائی 1.0	H AA II
ہائیپر 1.0	H AA II P A R
ہائیر 1.0	H AA II R
ہٹ 1.0	H A TT
ہٹا 1.0	H A TT AA
ہر 1.0	H A R
ہرفن 1.0	H A R F A N
ہرلی 1.0	H A R L II
ہزار 1.0	H A Z AA R
ہسبنڈ 1.0	H A S B A N DD
ہسپتال 1.0	H A S P A TD AA L
ہسٹری 1.0	H I S TT I R II
ہش 1.0	H I SH
ہشیور 1.0	H A SH J R
ہفتہ 1.0	H A F TD AA
ہفتے 1.0	H A F TD AE
ہل 1.0	H A L
ہلاں 1.0	H A L AAN
ہلکی 1.0	H A L K II
ہم 1.0	H A M
ہمارا 1.0	H A M AA R AA
ہمارے 1.0	H A M AA R AE
ہماری 1.0	H A M AA R II
ہمدان 1.0	H A M DD AA N
ہمدرد 1.0	H A M DD A R DD
ہمہ 1.0	H A M AA
ہمیشہ 1.0	H A M AE SH AA
ہمیں 1.0	H A M AEN
ہنڈ 1.0	H A N DD
ہنڈریڈ 1.0	H A N DD R AE DD
ہنس 1.0	H A N S
ہنسنے 1.0	H A N S N AE
ہنی 1.0	H A N II
ہہاں 1.0	H A H AAN
ہو 1.0	H OO
ہوا 1.0	H A V AA
ہوائیں 1.0	H A V AA AYN
ہوپ 1.0	H OO P
ہوتا 1.0	H OO TD AA
ہوتے 1.0	H OO TD AY
ہوتی 1.0	H OO TD II
ہوتیں 1.0	H OO TD IIN
ہوٹ 1.0	H OO T
ہوٹل 1.0	H OO TT A L
ہوجائےگا 1.0	H UU DZZ AA AY G AA
ہوجائیں 1.0	H UU DZZ AA AYN
ہورہا 1.0	H OO R H AA
ہوسپیٹل 1.0	H OO S P II TT A L
ہوسکتا 1.0	H OO S K A TD AA
ہوگا 1.0	H OO G AA
ہوگی 1.0	H OO G II
ہوگیا 1.0	H OO G II AA
ہوگئے 1.0	H OO G I AY
ہولڈ 1.0	H OO L DD
ہولڈنگ 1.0	H OO L DD I NG
ہوم 1.0	H OO M
ہوں 1.0	H OON
ہون 1.0	H OO N
ہونا 1.0	H OO N AA
ہونگی 1.0	H OO NG II
ہونے 1.0	H OO N AY
ہونی 1.0	H OO N II
ہونیسٹ 1.0	H OO N II S TT
ہووے 1.0	H OO V AY
ہویں 1.0	H V AYN
ہویے 1.0	H A V II AY
ہوئے 1.0	H UU AE
ہوئی 1.0	H UU II
ہے 1.0	H AE
ہےتو 1.0	H A J TD OO
ہی 1.0	H II
ہیپی 1.0	H AE P II
ہیڈ 1.0	H AY DD
ہیرا 1.0	H AE R AA
ہیروز 1.0	H AE R OO Z
ہیز 1.0	H AE Z
ہیش 1.0	H AE SH
ہیلپ 1.0	H AE L P
ہیلو 1.0	H AE L OO
ہیم 1.0	H AE M
ہیں 1.0	H AYN
ہینڈ 1.0	H AE N DD
ہینڈل 1.0	H AE N DD A L
ہیو 1.0	H AE V
ہیوملیشن 1.0	H I J UU M I L AE SH A N
ہییر 1.0	H AY J A R
ہییں 1.0	H II AYN
ہیئر 1.0	H AE A R
ھو 1.0	KH OO
ھوگی 1.0	OO G II
ھوم 1.0	UU M
و 1.0	V
وُڈ 1.0	V A U DD
وا 1.0	V AA
واِسع 1.0	V AA I S AY
واِسے 1.0	V AA I S AE
واپڈا 1.0	V AA P DD AA
واپس 1.0	V AA P S
واپسی 1.0	V AA P S II
واٹ 1.0	V AA TT
واٹر 1.0	V AA TT A R
واٹس 1.0	V AA TT S
وادیں 1.0	V AA DD AYN
وارہی 1.0	V AA R H II
وارورڈ 1.0	V AA R V A R DD
واز 1.0	V AA Z
واسے 1.0	V AA S AY
واقع 1.0	V AA Q AE
واک 1.0	V AA K
واکنگ 1.0	V AA K I NG
والا 1.0	V AA L AA
والہ 1.0	V AA L AA
والوں 1.0	V AA L OON
والے 1.0	V AA L AY
والی 1.0	V AA L II
وانٹ 1.0	V AA N TT
وانے 1.0	V AA N AY
واہ 1.0	V AA
واؤ 1.0	V AA OO
واؤں 1.0	V AA OON
واے 1.0	V AA AY
وایا 1.0	V AA J AA
وایں 1.0	V AA AYN
وایۓ 1.0	V AA II
وائٹ 1.0	V AA I TT
وائڈ 1.0	V AA I DD
وائز 1.0	V AA I Z
وائس 1.0	V AA I S
وائے 1.0	V AA AY
وائیڈ 1.0	V AA II DD
وائیں 1.0	V AA AYN
وائیے 1.0	V AA I J AY
وٹس 1.0	V I TT S
وجہ 1.0	V A DZZ AA
وچ 1.0	V I TSH
وحید 1.0	V A H II DD
ودھ 1.0	V DDH
ودھن 1.0	V A DDH A N
ودھنوں 1.0	V A DDH A N OON
ودھھ 1.0	V A DDH
ور 1.0	V A R
ورانچ 1.0	V A R AA N TSH
ورٹھ 1.0	V A R TTH
وردہ 1.0	V A R DD AA
ورک 1.0	V A R K
ورکنگ 1.0	V A R K I NG
ورلڈ 1.0	V A R DD
ورنہ 1.0	V A R N AA
وری 1.0	V A R II
وریو 1.0	V A R J UU
وزٹ 1.0	V A Z A TT
وسیم 1.0	V A S II M
وعلیکم 1.0	V Y L AY K M
وغیرہ 1.0	V A 7 AY R AA
وقت 1.0	V A Q TD
وکی 1.0	V A K II
ول 1.0	V A L
ولا 1.0	V A L AA
ولی 1.0	V A L II
ولیج 1.0	V I L II DZZ
ولید 1.0	V A L II DD
ومن 1.0	V A M A N
وں 1.0	OON
ون 1.0	V A N
ونگ 1.0	V I NG
ونگز 1.0	V I NG Z
ونیلا 1.0	V A N II L AA
وہ 1.0	V AA
وہاں 1.0	V A H AAN
وہٹ 1.0	V A H TT
وہی 1.0	V A H II
وہیں 1.0	V A H AYN
وو 1.0	V OO
ووالا 1.0	OO V AA L AA
ووٹ 1.0	V OO TT
ووٹس 1.0	V OO TT S
ووج 1.0	V OO DZZ
ووڈ 1.0	V UU DD
وومن 1.0	V UU M OO E N
وومین 1.0	V OO M II N
وے 1.0	V AE
ویب 1.0	V AY B
ویٹ 1.0	V AE TT
ویٹنگ 1.0	V AE TT I NG
ویجٹیبلز 1.0	V AE DZZ TT AY B A L Z
ویجی 1.0	V AY DZZ II
ویجیٹیبل 1.0	V AY DZZ II TT AY B A L
ویری 1.0	V AE R II
ویریفائے 1.0	V AE R II F AA AY
ویریفائی 1.0	V AE R II F AA II
ویریفیکیشن 1.0	V AE R II F II K AY SH A N
ویسا 1.0	V AE S AA
ویسٹ 1.0	V AE S TT
ویسے 1.0	V AY S AE
ویل 1.0	V AE L
ویلا 1.0	V AE L AA
ویلاز 1.0	V AE L AA Z
ویلڈ 1.0	V AE L DD
ویلفئیر 1.0	V E L F AE II R
ویلکم 1.0	V AE L K A M
ویلو 1.0	V AE L OO
ویلی 1.0	V AE L II
ویلیڈ 1.0	V AE L II DD
ویلیو 1.0	V AY L J UU
ویلیود 1.0	V AY L J UU DD
ویلیوڈ 1.0	V AY L J UU DD
ویں 1.0	V AYN
وین 1.0	V AE N
ویو 1.0	V AE V
ویوس 1.0	V AE V I S
ویئر 1.0	V AE A R
ی 1.0	II
یا 1.0	J AA
یاِسر 1.0	J AA I S A R
یاد 1.0	J AA DD
یار 1.0	J AA R
یاسر 1.0	J AA S A R
یاہ 1.0	J AA
یت 1.0	J A TD
یتی 1.0	J A TD II
یرز 1.0	J A R Z
یس 1.0	J A S
یسٹ 1.0	E S TT
یعقوب 1.0	J A Q UU B
یعنی 1.0	J A N II
یقین 1.0	J A Q II N
یگا 1.0	J A G AA
یں 1.0	AYN
یہ 1.0	J AA
یہاں 1.0	J A H AAN
یہہ 1.0	J A H AA
یہی 1.0	J AE H II
یہیں 1.0	J A H AYN
یو 1.0	J UU
یوجولی 1.0	J UU DZZ OO L II
یور 1.0	J UU R
یوز 1.0	J UU Z
یوسف 1.0	J UU S U F
یوشولی 1.0	J UU SH UU L II
یومنا 1.0	J UU M N AA
یونٹ 1.0	J UU N A TT
یونین 1.0	J UU N I J A N
یونیورسٹی 1.0	J UU N II V A R S I TT II
